time,open,high,low,close,volume
2023-03-29 22:24:00,1792.3,1792.31,1791.74,1791.89,106.7381
2023-03-29 22:25:00,1791.9,1791.9,1791.05,1791.3,149.4637
2023-03-29 22:26:00,1791.3,1791.7,1791.3,1791.68,167.6074
2023-03-29 22:27:00,1791.68,1791.83,1791.33,1791.68,125.3172
2023-03-29 22:28:00,1791.68,1792.5,1791.62,1792.5,256.4528
2023-03-29 22:29:00,1792.5,1793.67,1792.38,1792.39,346.993
2023-03-29 22:30:00,1792.38,1792.39,1791.28,1791.3,181.1159
2023-03-29 22:31:00,1791.3,1791.61,1791.14,1791.6,187.1484
2023-03-29 22:32:00,1791.6,1792.28,1791.6,1792.27,181.5398
2023-03-29 22:33:00,1792.28,1793.56,1792.27,1793.56,266.3498
2023-03-29 22:34:00,1793.56,1794.66,1792.93,1792.94,978.5868
2023-03-29 22:35:00,1792.94,1793.17,1791.66,1791.66,270.9464
2023-03-29 22:36:00,1791.67,1792.56,1791.66,1791.68,134.4917
2023-03-29 22:37:00,1791.68,1791.68,1790.35,1790.49,159.1969
2023-03-29 22:38:00,1790.49,1791.35,1790.49,1790.94,158.6872
2023-03-29 22:39:00,1790.94,1790.94,1789.75,1789.85,166.732
2023-03-29 22:40:00,1789.85,1790.64,1788.5,1789.53,610.0185
2023-03-29 22:41:00,1789.53,1789.86,1789.12,1789.85,177.3556
2023-03-29 22:42:00,1789.86,1790.83,1789.85,1790.66,190.0432
2023-03-29 22:43:00,1790.66,1790.94,1789.89,1789.91,202.1292
2023-03-29 22:44:00,1789.91,1789.98,1789.41,1789.97,157.5961
2023-03-29 22:45:00,1789.97,1791.05,1788.51,1788.57,677.7918
2023-03-29 22:46:00,1788.57,1788.84,1787.59,1788.6,245.7693
2023-03-29 22:47:00,1788.59,1789.14,1788.59,1789.13,153.0136
2023-03-29 22:48:00,1789.14,1790.44,1789.13,1790.17,334.1194
2023-03-29 22:49:00,1790.18,1790.68,1789.99,1790.68,212.7881
2023-03-29 22:50:00,1790.68,1790.93,1790.45,1790.93,160.2147
2023-03-29 22:51:00,1790.93,1790.93,1790.68,1790.69,93.2372
2023-03-29 22:52:00,1790.69,1791.12,1790.68,1791.11,126.8969
2023-03-29 22:53:00,1791.12,1791.36,1791.11,1791.35,82.444
2023-03-29 22:54:00,1791.35,1791.36,1790.53,1791.06,203.6407
2023-03-29 22:55:00,1791.07,1791.07,1790.25,1790.75,127.1254
2023-03-29 22:56:00,1790.74,1791.41,1790.74,1790.75,158.5505
2023-03-29 22:57:00,1790.76,1791.61,1790.75,1791.6,79.7991
2023-03-29 22:58:00,1791.6,1791.79,1790.57,1790.57,212.2548
2023-03-29 22:59:00,1790.57,1790.58,1790.36,1790.52,151.0276
2023-03-29 23:00:00,1790.52,1790.79,1789.81,1789.83,269.2947
2023-03-29 23:01:00,1789.83,1790.68,1789.83,1790.63,107.4269
2023-03-29 23:02:00,1790.63,1792.26,1790.62,1792.25,145.6108
